narrative_theme,description,paragraph_count,percentage
僧尼异事,僧尼的奇异经历,75,18.61%
修道成仙,通过修炼得道成仙,55,13.65%
鬼魂还阳,鬼魂返回阳间的故事,55,13.65%
异物奇珍,奇异物品和珍宝的记载,44,10.92%
其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,41,10.17%
法术幻术,使用法术或幻术的故事,40,9.93%
物怪变形,无生命物体变形为怪物或精灵,33,8.19%
神灵传说,关于神仙、民俗神灵的传说记载,29,7.20%
异闻杂录,古文叙事模式的超自然片段，以叙事标记词为特征,26,6.45%
佛教志异,佛教相关的灵异事迹与志怪记载,23,5.71%
占卜预言,通过占卜进行预言的故事,22,5.46%
梦兆应验,梦中的预兆后来应验,19,4.71%
隐逸修行,隐逸修行的故事,16,3.97%
佛法灵验,佛法感应、灵验显灵的故事,16,3.97%
冥界游历,进入冥界游历后返回的故事,13,3.23%
人兽互变,人与兽之间的变形互变,11,2.73%
祥瑞灾异,天降祥瑞或灾异的记录,10,2.48%
侠客义行,侠客、刺客的义行故事,9,2.23%
因果报应,善恶有报的因果故事,9,2.23%
灵物异迹,灵异物品、奇石异树、怪泉灵洞的记载,8,1.99%
形体变化,身体形体的各种变化,7,1.74%
天上人间,天上与人间的往返穿梭,7,1.74%
奇人异能,具有超常能力的人物,7,1.74%
迷路归返,迷路后经历奇遇最终返回,5,1.24%
尸解成仙,借助尸解或其他方式脱离肉体成仙,5,1.24%
自然怪象,自然界出现的奇异现象,4,0.99%
死后复活,死后或濒死后复活、还魂的故事,3,0.74%
动植怪变,动植物出现怪异变化,3,0.74%
空间变幻,进入异度空间或空间变幻的经历,2,0.50%
妖魅惑人,妖魅运用魅惑之术迷惑凡人,2,0.50%
时间错位,经历与正常时间流速不同的情境,2,0.50%
忠孝节义,忠孝节义的伦理故事,2,0.50%
壶中天地,小空间内包含大世界的奇境,2,0.50%
