annotated_term,broad_category
万寿菩萨院,佛道信仰
万岁楼,异域物产
丈室,佛道信仰
上东门,建筑寺塔
上人,佛道信仰
上座璘公院,佛道信仰
上清,佛道信仰
上解,丧葬冥界
上都青龙寺,建筑寺塔
下司马,动物
不二,佛道信仰
不畏寒,动物
不空三藏塔,建筑寺塔
不语怪力事,神怪妖魅
与宣律和尚相接,佛道信仰
与秦王卒相遇,人物政事
东华童子青木香,异域物产
东壁古培下,建筑寺塔
东平,异域物产
东平未用兵,异域物产
东方朔,异域物产
东林,佛道信仰
东海大鱼,异域物产
东牟,异域物产
东都尊贤坊田令宅,梦兆占验
东都龙门,异域物产
丞相张魏公延赏,异域物产
中严,动物
中书舍人殷炅,人物政事
中星宿品,梦兆占验
临川郡,异域物产
临邑县,异域物产
主客王克,异域物产
主客贺季,植物
主急兵,梦兆占验
丽龟,动物
义熙十二年,异域物产
乌仗那国,佛道信仰
乌头,动物
乐游苑,异域物产
乘鹅殿,建筑寺塔
乾陵,丧葬冥界
事袄神,异域物产
于太岁上掘坑,梦兆占验
于阗,异域物产
井口边草,植物
井鱼,异域物产
交午柱,植物
亦出波斯国,异域物产
京兆,梦兆占验
京西持国寺,异域物产
人境,梦兆占验
人木,异域物产
人腊,丧葬冥界
仁寿,人物政事
仙人条,异人方术
仙树,异人方术
代宗,动物
代川,异域物产
伍相庙,异域物产
伏罪云,植物
伏苓,植物
会昌,人物政事
会昌二年寒食日,异域物产
会要卷四八寺,建筑寺塔
传说,丧葬冥界
伯奇食梦,动物
伽阇那国,异域物产
但马,动物
余甘,植物
佛地,佛道信仰
使令,植物
使守门,建筑寺塔
使院,异域物产
供养品中,植物
供帐,异域物产
依簷映昔耶,植物
促装,梦兆占验
俗流,异域物产
修行里,建筑寺塔
俱位国,异域物产
偏坐,建筑寺塔
健儿,异域物产
傅岩,异域物产
僧伽,佛道信仰
僧俨,建筑寺塔
僧那,佛道信仰
僧非出院僧,佛道信仰
元中书载,人物政事
元和,人物政事
兄戍辽阳,器物技艺
先天菩萨帧,佛道信仰
先泰山老师,异人方术
光宅坊光宅寺,佛道信仰
光明寺,建筑寺塔
兔丝子,动物
入笼,建筑寺塔
兰若,佛道信仰
兰陵里,建筑寺塔
兴元城固县,异域物产
兴元郑公,异域物产
兴唐寺,异域物产
兴善寺,建筑寺塔
兴州,异域物产
其色如莲,佛道信仰
典客令,建筑寺塔
冀县,异域物产
内库,人物政事
内棺加盖,丧葬冥界
农皇,植物
冥司,丧葬冥界
冷冷,饮食医药
净阳,异域物产
