paragraph_id,volume_title,monster_type,narrative_themes,theme_descriptions,keywords,text
S00-P001,序,神仙志怪,物怪变形、异物奇珍,无生命物体变形为怪物或精灵、奇异物品和珍宝的记载,怪、龙,夫《易·象》「一车」之言，近于怪也；《诗》人「南淇之奥」，近乎戏也。固服缝掖者肆笔之余，及怪及戏，无侵于儒。无若《诗》、《书》之味大羹，史为折俎，子为醯醢也。炙……
V01-P013,卷一·忠志,神仙志怪,僧尼异事、梦兆应验,僧尼的奇异经历、梦中的预兆后来应验,僧、万回,上尝梦曰鸟飞，蝙蝠数十逐而堕地。惊觉，召万回僧曰：「大家即是上天时。」翌日而崩。
V01-P014,卷一·忠志,神仙志怪,异闻杂录,古文叙事模式的超自然片段，以叙事标记词为特征,道、龙,睿宗尝阅内库，见一鞭，金色，长四尺，数节有虫啮处，状如盘龙，靶上悬牙牌，题象耳皮，或言隋宫库旧物也。上为冀王时，寝斋壁上蜗迹成「天」字，上惧，遽扫之。经数日如初……
V01-P015,卷一·忠志,神仙志怪,修道成仙,通过修炼得道成仙,道,玄宗，禁中尝称阿瞒，亦称鸦。寿安公主，曹野那姬所生也。以其九月而诞，遂不出降。常令衣道服，主香火。小字虫娘，上呼为师娘。为太上皇时，代宗起居，上曰：「汝在东宫，……
V01-P016,卷一·忠志,异域怪物,祥瑞灾异,天降祥瑞或灾异的记录,龙,天宝末，交趾贡龙脑，如蝉蚕形。波斯言老龙脑树节方有，禁中呼为瑞龙脑。上唯赐贵妃十枚，香气彻十余步。上夏日尝与亲王棋，令贺怀智独弹琵琶，贵妃立于局前观之。上数子将……
V01-P017,卷一·忠志,神仙志怪,法术幻术、异物奇珍,使用法术或幻术的故事、奇异物品和珍宝的记载,龙、符,安禄山恩宠莫比，锡赍无数。其所赐品目有：桑落酒、阔尾羊窟利、马酪、音声人两部、野猪鲜、鲫鱼并鲙手刀子、清酒、大锦、苏造真符宝舆、余甘煎、辽泽野鸡、五术汤、金石凌……
V01-P018,卷一·忠志,神仙志怪,形体变化,身体形体的各种变化,神、冥,肃宗将至灵武驿，黄昏，有妇人长大，携双鲤咤于营门曰：「皇帝何在？」众谓风狂，遽白上潜视举止。妇人言已，止大树下。军人有逼视，见其臂上有鳞。俄天黑，失所在。及上即……
V01-P019,卷一·忠志,神仙志怪,神灵传说、祥瑞灾异、异物奇珍,关于神仙、民俗神灵的传说记载、天降祥瑞或灾异的记录、奇异物品和珍宝的记载,神、妖、天帝、符,代宗即位日，庆云见，黄气抱日。初，楚州献定国宝十二，乃诏上监国。诏曰：「上天降宝，献自楚州。神明生历数之符，合璧定妖灾之气。」初，楚州有尼真如，忽有人接去天上。……
V02-P022,卷一·礼异,神仙志怪,法术幻术、修道成仙,使用法术或幻术的故事、通过修炼得道成仙,道、龙、符,凡节，守国用玉节，守都鄙用角节，使山邦用虎节，土邦用人节，泽邦用龙节，门关用符节，货贿用玺节，道路用旌节。古者安平用璧，与事用圭，成功用璋，边戎用珩，战斗用璩，……
V02-P031,卷一·礼异,神仙志怪,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,龙,北朝妇人，常以冬至日进履袜及靴；正月进箕帚、长生花，立春进春书，以青绘为只，刻龙像衔之，或为虾蟆；五月进五时图、五时花，施帐之上。是日又进长命缕、宛转绳，皆结为……
V03-P034,卷一·天咫,神仙志怪,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,怪、僧,僧行博览无不知，尤善于数，钩深藏往，当时学者莫能测。幼时家贫，邻有王姥，前后济之数十万。及行开元中承上敬遇，言无不可，常思报之。寻王姥儿犯杀人罪，狱未具。姥访行……
V03-P035,卷一·天咫,神仙志怪,天上人间、僧尼异事,天上与人间的往返穿梭、僧尼的奇异经历,神、僧、道,永贞年，东市百姓王布，知书，藏镪千万，商旅多宾之。有女年十四五，艳丽聪晤，鼻两孔各垂息肉，如皂荚子，其根如麻线，长寸许，触之痛入心髓。其父破钱数百万治之，不差。……
V03-P037,卷一·天咫,神仙志怪,迷路归返,迷路后经历奇遇最终返回,道,大和中，郑仁本表弟，不记姓名，常与王秀才游嵩山，扪萝越涧，境极幽后，遂迷归路。将暮，不知所之。徙倚间，忽觉丛中鼾睡声，披榛窥之，见人布衣，甚洁白，枕幞物，方眠熟……
V04-P038,卷二·玉格,神仙志怪,空间变幻、鬼魂还阳、冥界游历,进入异度空间或空间变幻的经历、鬼魂返回阳间的故事、进入冥界游历后返回的故事,神、鬼、仙、魅、道、冥,道列三界诸天，数与释氏同，但名别耳。三界外曰四人境，谓常融、玉垄梵度、覆奕四天也。四人天外曰三清，大赤、禹余、清微也。三清上曰大罗，又有九天波利等九名。天圆十二……
V04-P040,卷二·玉格,神仙志怪,死后复活、神灵传说,死后或濒死后复活、还魂的故事、关于神仙、民俗神灵的传说记载,鬼、仙、道,夏启为东明公，文王为西明公，邵公为南明公，季札为北明公，四时主四方鬼。至忠至孝之人，命终皆为地下主者，百四十年乃授下仙之教，授以大道。有上圣之德，命终受三官书，……
V04-P041,卷二·玉格,神仙志怪,鬼魂还阳,鬼魂返回阳间的故事,神、鬼,炎帝甲为北太帝君，主天下鬼神。三元品式、明真科、九幽章，皆律也。连苑、曲泉、泰煞、九幽、云夜、九都、三灵、万掠、四极、九科，皆治所也。三十六狱，流沙赤等号溟氵零……
V04-P043,卷二·玉格,神仙志怪,冥界游历,进入冥界游历后返回的故事,鬼、仙,鬼官有七十五品。仙位有九太帝，二十七天君，一千二百仙官，二万四千灵司，三十二司命，三品、九品、七城。九阶二十七位，七十二万之次第也。
